PID   USER     TIME  COMMAND
    1 root      0:02 bash /init
    2 root      0:00 [kthreadd]
    3 root      0:00 [pool_workqueue_]
    4 root      0:00 [kworker/R-rcu_g]
    5 root      0:00 [kworker/R-rcu_p]
    6 root      0:00 [kworker/R-slub_]
    7 root      0:00 [kworker/R-netns]
    8 root      0:00 [kworker/0:0-eve]
    9 root      0:00 [kworker/0:0H-ev]
   12 root      0:00 [kworker/R-mm_pe]
   13 root      0:00 [rcu_tasks_kthre]
   14 root      0:00 [rcu_tasks_trace]
   15 root      0:00 [ksoftirqd/0]
   16 root      0:00 [rcu_preempt]
   17 root      0:00 [rcuog/0]
   18 root      0:00 [rcuop/0]
   19 root      0:00 [migration/0]
   20 root      0:00 [cpuhp/0]
   21 root      0:00 [cpuhp/1]
   22 root      0:00 [migration/1]
   23 root      0:00 [ksoftirqd/1]
   24 root      0:00 [kworker/1:0]
   25 root      0:00 [kworker/1:0H]
   26 root      0:00 [rcuop/1]
   27 root      0:00 [cpuhp/2]
   28 root      0:00 [migration/2]
   29 root      0:00 [ksoftirqd/2]
   30 root      0:00 [kworker/2:0]
   31 root      0:00 [kworker/2:0H-ev]
   32 root      0:00 [rcuop/2]
   33 root      0:00 [cpuhp/3]
   34 root      0:00 [migration/3]
   35 root      0:00 [ksoftirqd/3]
   36 root      0:00 [kworker/3:0]
   37 root      0:00 [kworker/3:0H]
   38 root      0:00 [rcuop/3]
   39 root      0:00 [cpuhp/4]
   40 root      0:00 [migration/4]
   41 root      0:00 [ksoftirqd/4]
   42 root      0:00 [kworker/4:0]
   43 root      0:00 [kworker/4:0H]
   44 root      0:00 [rcuog/4]
   45 root      0:00 [rcuop/4]
   46 root      0:00 [cpuhp/5]
   47 root      0:00 [migration/5]
   48 root      0:00 [ksoftirqd/5]
   49 root      0:00 [kworker/5:0]
   50 root      0:00 [kworker/5:0H]
   51 root      0:00 [rcuop/5]
   52 root      0:00 [cpuhp/6]
   53 root      0:00 [migration/6]
   54 root      0:00 [ksoftirqd/6]
   55 root      0:00 [kworker/6:0]
   56 root      0:00 [kworker/6:0H]
   57 root      0:00 [rcuop/6]
   58 root      0:00 [cpuhp/7]
   59 root      0:00 [migration/7]
   60 root      0:00 [ksoftirqd/7]
   61 root      0:00 [kworker/7:0]
   62 root      0:00 [kworker/7:0H-ev]
   63 root      0:00 [rcuop/7]
   64 root      0:00 [kworker/R-inet_]
   65 root      0:00 [oom_reaper]
   66 root      0:00 [kworker/R-write]
   67 root      0:00 [kcompactd0]
   68 root      0:00 [kworker/R-kbloc]
   69 root      0:00 [kworker/R-edac-]
   70 root      0:00 [kworker/R-devfr]
   71 root      0:00 [watchdogd]
   72 root      0:00 [kworker/6:1-eve]
   75 root      0:00 [kworker/0:1H-kb]
   78 root      0:00 [kshrinkd0]
   79 root      0:00 [kswapd0]
   80 root      0:00 [kworker/u17:0-u]
   81 root      0:00 [kworker/R-kthro]
   82 root      0:00 [dmabuf-deferred]
   83 root      0:00 [kworker/R-uas]
   84 root      0:00 [kworker/R-dm_bu]
   85 root      0:00 [hwrng]
   86 root      0:00 [kworker/R-mld]
   87 root      0:00 [kworker/R-ipv6_]
   88 root      0:00 [kworker/R-kstrp]
   91 root      0:00 [trusty-nop-0]
   92 root      0:00 [trusty-nop-1]
   93 root      0:00 [trusty-nop-2]
   94 root      0:00 [trusty-nop-3]
   95 root      0:00 [trusty-nop-4]
   96 root      0:00 [trusty-nop-5]
   97 root      0:00 [trusty-nop-6]
   98 root      0:00 [trusty-nop-7]
   99 root      0:00 [kworker/0:3-eve]
  100 root      0:00 [irq/899-arm-smm]
  101 root      0:00 [irq/902-arm-smm]
  102 root      0:00 [irq/905-arm-smm]
  103 root      0:00 [irq/908-arm-smm]
  104 root      0:00 [irq/910-arm-smm]
  105 root      0:00 [irq/913-arm-smm]
  106 root      0:00 [irq/916-arm-smm]
  107 root      0:00 [scsi_eh_0]
  108 root      0:00 [kworker/R-scsi_]
  109 root      0:00 [kworker/R-ufs_m]
  110 root      0:00 [kworker/R-ufs_e]
  111 root      0:00 [kworker/R-ufs_c]
  112 root      0:00 [spi19]
  113 root      0:00 [spi20]
  114 root      0:00 [spi6]
  115 root      0:00 [spi15]
  116 root      0:00 [spi18]
  117 root      0:00 [kworker/u17:1]
  118 root      0:00 [PT_resize]
  119 root      0:00 [kworker/R-slg51]
  130 root      0:00 [kworker/2:1H]
  135 root      0:01 [kworker/u16:1-e]
  155 root      0:00 [kworker/7:1H]
  181 root      0:00 [kworker/u16:3-r]
  191 root      0:00 [kworker/u16:0-e]
  267 root      0:00 ps -A
