CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,422000,1980.008514,4.691963303317536,38.07322070808724,11.538851000000001,51.99824488590762,303.07
1,460000,2159.267576,4.694059947826087,39.97084286886308,11.108217,54.01406904456403,277.908
1,533000,2497.492102,4.685726270168856,42.1174019985267,10.119843000000001,59.289457356206015,240.277
1,729000,3420.148092,4.69156116872428,51.3225354199674,9.005360000000001,66.62698659465029,175.466
1,883000,4139.529749,4.688029160815402,60.21743149007787,8.730263,68.72645188352286,144.979
1,1036000,4861.960829,4.693012383204633,67.83435269719628,8.373676,71.65311865422068,123.443
1,1190000,5581.603036,4.6904227193277315,76.93133079140705,8.272426,72.5301138988732,107.53
1,1286000,6034.578133,4.692517988335926,85.36789294296257,8.490776,70.66491920173138,99.461
1,1363000,6395.565741,4.692271269992664,90.78440063931806,8.520116,70.42157641985156,93.85
1,1459000,6850.253459,4.695170294037012,100.38618415046106,8.796239,68.21097062051179,87.624
1,1555000,7292.793505,4.689899360128617,108.76600371769794,8.952421000000001,67.02097678382194,82.309
1,1632000,7658.72712,4.6928475,115.1379979075761,9.024286,66.48725450412365,78.378
1,1766000,8288.895643,4.69359889184598,132.61143330571664,9.60372,62.475790631130444,72.42
1,1881000,8827.943383,4.693218172780436,148.20791176470587,10.078138000000001,59.534806925644396,68.0
1,1996000,9354.974508,4.6868609759519035,168.69271166103067,10.82518,55.42633009335641,64.171
1,2016000,9449.711784,4.687357035714285,176.25993262813247,11.197441000000001,53.583671483511274,63.528
1,2054000,9631.591621,4.689187741480039,190.43083587357611,11.869554,50.54949832150391,62.33
1,2092000,9822.861072,4.6954402829827915,202.00518677291097,12.345951,48.59892931698822,61.117
1,2169000,10170.870627,4.689198076071922,240.04630084537584,14.169213,42.34532997704248,59.027
1,2246000,10532.22862,4.689327079252004,283.48329883161995,16.159115,37.13074633109549,57.002
2,400000,3666.831674,9.167079185,26.759505581455027,4.379648,136.99731119943885,163.667
2,533000,4884.482001,9.164131333958725,34.30802848423194,4.215599,142.3285279268735,122.875
2,652000,5983.962979,9.177857329754602,43.965017047833626,4.409955,136.05581009330027,100.306
2,729000,6688.888641,9.1754302345679,49.55022067674201,4.445844,134.95750188265714,89.724
2,921000,8445.945946,9.170408193268187,67.34381023397161,4.786595999999999,125.35003998666276,71.077
2,1075000,9841.066772,9.154480718139535,83.57787906610703,5.097582,117.7028638283798,60.992
2,1267000,11615.301223,9.167562133385951,103.98111966572523,5.3751999999999995,111.6237535347522,51.694
2,1401000,12846.040208,9.169193581727338,120.53721412831868,5.634271,106.4911503191806,46.743
2,1536000,14075.2557,9.1635779296875,138.63447515884738,5.912899,101.4730676103211,42.651
2,1670000,15292.468459,9.157166741916168,157.03441249140326,6.165014,97.32337996312741,39.259
2,1785000,16351.447103,9.160474567507004,173.59144615049547,6.376361,94.097558152683,36.732
2,1862000,17065.817168,9.165315342642321,191.56215371501634,6.74203,88.99396769222326,35.195
2,1939000,17765.670802,9.162285096441465,208.4571563784791,7.047728,85.13381901231149,33.809
2,2092000,19176.681156,9.166673592734226,247.00233040702315,7.737348,77.54594985258515,31.325
2,2188000,20047.445621,9.162452294789762,273.7920339209402,8.200619000000001,73.16520862632443,29.952
2,2284000,20929.259104,9.163423425569178,297.79231144569917,8.544257,70.22260683404069,28.692
2,2400000,21990.910424,9.162879343333334,332.7782373179123,9.092167,65.99086884347813,27.322
2,2534000,23231.501917,9.167917094317286,387.3353825928933,10.017655000000001,59.89425668981413,25.863
2,2688000,24629.530807,9.162771877604166,447.97774498954874,10.930209000000001,54.893735334795515,24.399
2,2841000,26038.276266,9.165179959873285,534.8113518197574,12.343446,48.608792066656264,23.08
2,2937000,26910.65662,9.16263419135172,608.7514784946237,13.587333000000001,44.15877641329612,22.32
2,3052000,27970.723976,9.164719520314549,693.4502513030528,14.900859,40.26613499262022,21.488
5,400000,3665.442816,9.16360704,27.37180724363281,4.481586,133.8811751018501,163.73
5,533000,4883.130412,9.161595519699814,36.19174036497954,4.4483630000000005,134.8810787249152,122.911
5,652000,5985.097108,9.179596791411043,45.98098476388002,4.611341,130.1139950396208,100.288
5,729000,6687.024943,9.172873721536352,51.80975881468278,4.650703,129.01275355575274,89.765
5,921000,8439.886906,9.163829431053204,69.9329396878954,4.97433,120.61925927712878,71.13
5,1075000,9856.748587,9.169068453023256,85.02004629857656,5.1784859999999995,115.86398032166159,60.909
5,1267000,11621.150494,9.172178764009471,105.93349849036154,5.473372,109.62163726492552,51.668
5,1401000,12833.950076,9.160563937187723,122.40894227275642,5.727392,104.7597230990999,46.789
5,1536000,14075.585896,9.163792901041667,140.33966951834057,5.987591999999999,100.2072285486386,42.665
5,1670000,15307.293926,9.16604426706587,156.97224487715363,6.158963,97.41899732146467,39.236
5,1785000,16366.16568,9.168720268907563,172.58433702109107,6.3335,94.73434909607641,36.698
5,1862000,17059.994313,9.16218813802363,193.9935810043172,6.830126,87.84611001319742,35.208
5,1939000,17769.880053,9.164455932439402,214.35503816342228,7.245629,82.8085456762967,33.802
5,2092000,19176.068267,9.166380624760993,261.6130175248189,8.195551,73.21045284203589,31.327
5,2188000,20062.863639,9.169498920932359,286.3306281935678,8.573598,69.98228748303805,29.943
5,2284000,20924.149956,9.161186495621717,311.57617024240733,8.945975,67.06926858168059,28.712
5,2400000,21998.973381,9.16623890875,341.1426531434221,9.316947,64.39877783999415,27.311
5,2534000,23217.118756,9.162241024467246,387.2637944358578,10.022387,59.865978034973104,25.88
5,2688000,24635.59844,9.16502918154762,435.3147343391276,10.618197,56.506768522000485,24.392
5,2841000,26041.666667,9.16637334283703,535.2652309558887,12.352851000000001,48.57178314544553,23.078
5,2937000,26898.592307,9.158526491998638,615.714260137857,13.756288,43.61641745214988,22.342
5,3052000,27978.549779,9.167283675950197,705.3445209943209,15.152211,39.598181413920386,21.482
7,533000,5677.463309,10.651901142589118,78.67002771445597,8.317074,72.14075527042323,105.721
7,800000,8524.906936,10.65613367,109.45235086124877,7.707744,77.84378931111361,70.421
7,883000,9423.738397,10.672410415628539,123.7006137473119,7.8805950000000005,76.1363831030525,63.707
7,1036000,11059.907834,10.675586712355212,143.73462884509118,7.803353,76.89002407042203,54.29
7,1152000,12276.466015,10.656654526909723,169.91012430487405,8.310644,72.1965710479236,48.912
7,1305000,13925.960311,10.671233954789273,197.9043687969576,8.534428,70.30348138152902,43.124
7,1420000,15161.469652,10.677091304225351,227.0254461919067,8.993159,66.71737928796767,39.613
7,1593000,17011.142298,10.678683175141241,263.17898612291134,9.29285,64.56576830574043,35.31
7,1766000,18781.694109,10.635160877123443,304.4318409204602,9.736948,61.6209514521388,31.984
7,1920000,20473.623149,10.663345390104165,340.8147491821156,10.000868,59.99479245201516,29.344
7,2073000,22126.341409,10.67358485721177,382.68043894535276,10.39207,57.73633164518715,27.156
7,2208000,23531.257354,10.657272352355074,431.094024122807,11.008417,54.503749267492324,25.536
7,2342000,24956.326429,10.655989081554228,484.58828903654484,11.668886,51.41879010558505,24.08
7,2457000,26231.801688,10.676353963369964,564.3375087290502,12.930101,46.40334982688844,22.912
7,2592000,27603.974972,10.649681702160494,621.6826490309544,13.536518,44.324544908816286,21.774
7,2707000,28851.70225,10.658183321019578,671.3509336149378,13.986254,42.899263805733824,20.833
7,2937000,31289.111389,10.653425736806266,781.5383574476944,15.016478,39.95610688471691,19.214
7,3168000,33762.872095,10.657472252209596,991.8941044357102,17.665633999999997,33.96424945744942,17.81
7,3398000,36266.924565,10.673020766627427,1216.9200940779158,20.178969000000002,29.733927437026143,16.582
7,3590000,38292.169251,10.666342409749303,1614.582134216223,25.358627000000002,23.660586986827006,15.706
7,3782000,40338.846309,10.666009071655209,2053.7192864806866,30.625062000000003,19.591797071300622,14.912
